,movieId,movieTags
0,19995,"['action', 'adventure', 'fantasy', 'sciencefiction', 'cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', 'd', 'samworthington', 'zoesaldana', 'sigourneyweaver', 'stephenlang', 'michellerodriguez', 'stephenerivkin', 'rickcarter', 'christopherboyes', 'christopherboyes', 'malifinn', 'avatar']"
1,285,"['adventure', 'fantasy', 'action', 'ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', 'loveofoneslife', 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger', 'johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgrd', 'chowyunfat', 'dariuszwolski', 'goreverbinski', 'jerrybruckheimer', 'tedelliott', 'terryrossio', 'piratesofthecaribbeanatworldsend']"
2,206647,"['action', 'adventure', 'crime', 'spy', 'basedonnovel', 'secretagent', 'sequel', 'mi', 'britishsecretservice', 'unitedkingdom', 'danielcraig', 'christophwaltz', 'laseydoux', 'ralphfiennes', 'monicabellucci', 'thomasnewman', 'sammendes', 'annapinnock', 'johnlogan', 'johnlogan', 'spectre']"
3,49026,"['action', 'crime', 'drama', 'thriller', 'dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'coverup', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman', 'christianbale', 'michaelcaine', 'garyoldman', 'annehathaway', 'tomhardy', 'hanszimmer', 'charlesroven', 'christophernolan', 'christophernolan', 'christophernolan', 'thedarkknightrises']"
4,49529,"['action', 'adventure', 'sciencefiction', 'basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', 'thcentury', 'd', 'taylorkitsch', 'lynncollins', 'samanthamorton', 'willemdafoe', 'thomashadenchurch', 'andrewstanton', 'andrewstanton', 'johnlasseter', 'colinwilson', 'gailstevens', 'johncarter']"
5,559,"['fantasy', 'action', 'adventure', 'dualidentity', 'amnesia', 'sandstorm', 'loveofoneslife', 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge', 'tobeymaguire', 'kirstendunst', 'jamesfranco', 'thomashadenchurch', 'tophergrace', 'francinemaisler', 'josephmcaracciolojr', 'samraimi', 'samraimi', 'stanlee', 'spiderman']"
6,38757,"['animation', 'family', 'hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick', 'zacharylevi', 'mandymoore', 'donnamurphy', 'ronperlman', 'mcgainey', 'johnlasseter', 'jacobgrimm', 'wilhelmgrimm', 'johnkahrs', 'douglasrogers', 'tangled']"
7,99861,"['action', 'adventure', 'sciencefiction', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', 'd', 'robertdowneyjr', 'chrishemsworth', 'markruffalo', 'chrisevans', 'scarlettjohansson', 'dannyelfman', 'christopherboyes', 'christopherboyes', 'sarahfinn', 'briantyler', 'avengersageofultron']"
8,767,"['adventure', 'fantasy', 'family', 'witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf', 'danielradcliffe', 'rupertgrint', 'emmawatson', 'tomfelton', 'michaelgambon', 'brunodelbonnel', 'stephaniemcmillan', 'stuartcraig', 'jkrowling', 'stevekloves', 'harrypotterandthehalfbloodprince']"
9,209112,"['action', 'adventure', 'fantasy', 'dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse', 'benaffleck', 'henrycavill', 'galgadot', 'amyadams', 'jesseeisenberg', 'hanszimmer', 'charlesroven', 'christophernolan', 'emmathomas', 'davidsgoyer', 'batmanvsupermandawnofjustice']"
